date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-07,Bordeaux,app,4,4,31,339.5,0.0,339.5
2025-03-07,Lyon,app,9,9,79,765.3,0.0,765.3
2025-03-07,Lille,web,9,9,97,912.0,54.99,966.99
2025-03-07,Lille,app,5,5,44,492.4,0.0,492.4
2025-03-07,Nantes,web,3,3,14,170.7,0.0,170.7
2025-03-07,Nantes,app,4,3,27,250.9,0.0,250.9
2025-03-07,Marseille,app,4,4,37,412.5,18.11,430.61
2025-03-07,Toulouse,web,5,5,36,585.2,20.6,605.8
2025-03-07,Lyon,web,5,5,38,470.6,14.93,485.53
2025-03-07,Toulouse,app,6,5,59,753.2,6.48,759.68
2025-03-07,Nice,web,3,3,30,362.1,14.54,376.64
2025-03-07,Marseille,web,7,7,69,669.6,5.82,675.42
2025-03-07,Paris,app,8,8,57,544.0,45.16,589.16
2025-03-07,Bordeaux,web,4,4,15,275.2,9.45,284.65
2025-03-07,Paris,web,5,5,36,419.4,7.98,427.38
