date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-03,Nantes,app,2,2,15,141.1,12.08,153.18
2025-03-03,Nice,web,8,7,66,626.7,32.4,659.1
2025-03-03,Toulouse,app,2,2,16,181.2,5.49,186.69
2025-03-03,Toulouse,web,6,6,58,633.8,15.35,649.15
2025-03-03,Lyon,web,5,5,33,317.8,18.1,335.9
2025-03-03,Marseille,app,4,3,23,229.1,11.52,240.62
2025-03-03,Bordeaux,app,2,2,10,68.0,2.1,70.1
2025-03-03,Paris,web,6,6,45,500.8,12.47,513.27
2025-03-03,Nantes,web,5,5,56,603.8,0.0,603.8
2025-03-03,Marseille,web,4,4,33,333.7,34.06,367.76
2025-03-03,Bordeaux,web,4,3,40,484.1,28.78,512.88
2025-03-03,Lyon,app,6,5,39,492.8,18.61,511.41
2025-03-03,Lille,web,6,6,47,432.4,0.0,432.4
2025-03-03,Nice,app,7,7,30,491.4,15.89,507.29
2025-03-03,Paris,app,4,4,25,215.7,22.39,238.09
2025-03-03,Lille,app,4,4,23,356.8,14.42,371.22
