date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-13,Marseille,app,5,4,51,428.2,0.0,428.2
2025-03-13,Nice,web,6,6,39,314.1,15.42,329.52
2025-03-13,Paris,app,8,8,61,709.9,9.57,719.47
2025-03-13,Nantes,app,5,5,50,510.4,0.0,510.4
2025-03-13,Lyon,web,6,6,63,560.7,18.91,579.61
2025-03-13,Paris,web,4,4,36,479.3,0.0,479.3
2025-03-13,Bordeaux,app,9,8,56,587.1,5.86,592.96
2025-03-13,Nice,app,4,4,16,229.8,12.59,242.39
2025-03-13,Lyon,app,6,6,46,468.1,4.31,472.41
2025-03-13,Toulouse,app,4,4,55,544.5,0.0,544.5
2025-03-13,Lille,web,4,4,36,358.7,7.79,366.49
2025-03-13,Bordeaux,web,1,1,1,4.0,0.0,4.0
2025-03-13,Nantes,web,6,6,56,784.0,34.69,818.69
2025-03-13,Marseille,web,6,5,52,465.3,63.58,528.88
2025-03-13,Lille,app,6,6,40,595.4,18.49,613.89
2025-03-13,Toulouse,web,5,5,34,417.5,35.53,453.03
