date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-20,Nantes,app,2,2,17,323.3,9.2,332.5
2025-03-20,Bordeaux,app,4,4,37,358.3,0.0,358.3
2025-03-20,Lille,web,3,3,21,199.4,0.0,199.4
2025-03-20,Bordeaux,web,6,6,49,525.4,3.7,529.1
2025-03-20,Lille,app,9,9,67,710.2,26.83,737.03
2025-03-20,Nice,web,4,4,26,221.8,0.0,221.8
2025-03-20,Nantes,web,5,5,30,309.3,6.41,315.71
2025-03-20,Marseille,web,5,5,34,320.8,55.22,376.02
2025-03-20,Nice,app,5,5,48,525.6,10.68,536.28
2025-03-20,Lyon,web,4,4,35,410.1,0.0,410.1
2025-03-20,Lyon,app,3,3,28,224.1,0.0,224.1
2025-03-20,Marseille,app,6,6,44,683.7,7.13,690.83
2025-03-20,Paris,app,7,7,49,455.3,18.67,473.97
2025-03-20,Toulouse,app,4,4,51,551.2,0.0,551.2
2025-03-20,Toulouse,web,5,5,42,554.9,0.0,554.9
2025-03-20,Paris,web,11,11,76,720.7,26.36,747.06
