date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-17,Marseille,app,6,5,48,563.4,39.33,602.73
2025-03-17,Nantes,app,5,5,60,592.5,0.0,592.5
2025-03-17,Toulouse,app,8,7,58,616.2,30.82,647.02
2025-03-17,Nice,web,3,3,20,186.1,18.35,204.45
2025-03-17,Marseille,web,8,7,62,700.3,25.03,725.33
2025-03-17,Nice,app,8,8,41,368.6,12.63,381.23
2025-03-17,Bordeaux,web,3,3,26,311.2,12.11,323.31
2025-03-17,Lyon,app,5,5,61,491.6,61.0,552.6
2025-03-17,Paris,web,6,5,31,350.2,14.41,364.61
2025-03-17,Paris,app,5,5,41,351.9,37.51,389.41
2025-03-17,Toulouse,web,3,3,27,408.8,17.48,426.28
2025-03-17,Lille,app,7,7,39,565.0,64.51,629.51
2025-03-17,Lille,web,5,5,29,277.9,10.74,288.64
2025-03-17,Nantes,web,4,4,22,272.0,38.09,310.09
2025-03-17,Bordeaux,app,5,4,49,565.7,13.99,579.69
2025-03-17,Lyon,web,3,3,12,182.5,12.66,195.16
