date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-26,Marseille,web,6,5,46,481.2,10.26,491.46
2025-03-26,Nantes,app,6,5,38,415.3,5.46,420.76
2025-03-26,Nice,web,5,5,44,531.6,23.12,554.72
2025-03-26,Paris,web,2,1,11,112.5,0.0,112.5
2025-03-26,Bordeaux,app,2,2,18,114.4,0.0,114.4
2025-03-26,Nice,app,5,4,20,349.3,0.0,349.3
2025-03-26,Bordeaux,web,9,8,54,587.9,28.16,616.06
2025-03-26,Lille,app,7,7,73,852.1,60.72,912.82
2025-03-26,Toulouse,web,2,2,15,114.4,0.0,114.4
2025-03-26,Toulouse,app,2,2,6,89.7,0.0,89.7
2025-03-26,Marseille,app,8,8,77,929.6,29.38,958.98
2025-03-26,Paris,app,3,3,16,221.9,7.57,229.47
2025-03-26,Lyon,app,2,1,7,41.8,0.0,41.8
2025-03-26,Lyon,web,2,2,12,101.5,29.09,130.59
2025-03-26,Lille,web,4,4,24,222.2,7.12,229.32
2025-03-26,Nantes,web,10,10,74,957.9,52.91,1010.81
