date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-27,Paris,web,4,4,25,244.1,31.21,275.31
2025-03-27,Marseille,web,9,8,72,730.6,47.45,778.05
2025-03-27,Toulouse,app,7,7,59,506.2,34.22,540.42
2025-03-27,Nice,web,4,4,23,210.1,7.78,217.88
2025-03-27,Marseille,app,6,6,38,565.3,78.76,644.06
2025-03-27,Paris,app,5,5,32,397.1,14.14,411.24
2025-03-27,Lille,app,8,8,56,803.3,22.32,825.62
2025-03-27,Lille,web,4,4,25,250.3,24.59,274.89
2025-03-27,Nantes,web,7,7,50,456.5,33.98,490.48
2025-03-27,Nice,app,3,3,16,161.9,11.25,173.15
2025-03-27,Bordeaux,app,6,6,46,475.6,1.46,477.06
2025-03-27,Bordeaux,web,2,2,28,405.0,17.86,422.86
2025-03-27,Lyon,app,3,3,26,280.9,21.15,302.05
2025-03-27,Lyon,web,5,5,34,255.5,15.17,270.67
2025-03-27,Nantes,app,9,8,83,760.9,31.84,792.74
