date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-31,Nantes,app,3,3,34,459.6,15.07,474.67
2025-03-31,Bordeaux,web,8,8,75,970.7,14.55,985.25
2025-03-31,Nice,web,3,3,19,131.5,0.0,131.5
2025-03-31,Lyon,web,6,6,51,416.2,8.43,424.63
2025-03-31,Lyon,app,1,1,5,20.0,0.0,20.0
2025-03-31,Paris,web,7,6,56,605.4,14.77,620.17
2025-03-31,Nantes,web,9,9,57,745.8,31.08,776.88
2025-03-31,Nice,app,2,2,9,35.5,6.72,42.22
2025-03-31,Marseille,app,6,6,41,507.0,30.22,537.22
2025-03-31,Marseille,web,3,3,15,154.4,0.0,154.4
2025-03-31,Lille,web,4,4,29,211.7,8.2,219.9
2025-03-31,Bordeaux,app,4,4,27,203.1,13.64,216.74
2025-03-31,Toulouse,app,5,5,35,403.6,5.02,408.62
2025-03-31,Paris,app,4,4,31,273.0,0.0,273.0
2025-03-31,Toulouse,web,7,7,52,634.7,14.12,648.82
2025-03-31,Lille,app,2,2,34,299.2,16.69,315.89
