date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-08,Lyon,app,4,3,22,235.8,8.51,244.31
2025-03-08,Bordeaux,web,8,8,67,752.4,38.19,790.59
2025-03-08,Lyon,web,4,4,28,248.8,3.56,252.36
2025-03-08,Nantes,web,6,5,34,548.1,0.0,548.1
2025-03-08,Toulouse,web,3,3,20,270.5,9.85,280.35
2025-03-08,Toulouse,app,6,6,34,454.0,35.14,489.14
2025-03-08,Nice,web,6,6,34,405.1,31.34,436.44
2025-03-08,Paris,web,7,7,43,286.5,42.39,328.89
2025-03-08,Lille,app,1,1,8,144.5,0.0,144.5
2025-03-08,Marseille,app,4,4,29,465.4,33.66,499.06
2025-03-08,Nice,app,4,4,27,288.7,8.65,297.35
2025-03-08,Bordeaux,app,5,5,38,510.2,0.0,510.2
2025-03-08,Lille,web,6,6,60,611.4,44.2,655.6
2025-03-08,Paris,app,4,4,31,378.3,42.41,420.71
2025-03-08,Nantes,app,4,4,41,575.3,10.81,586.11
2025-03-08,Marseille,web,6,6,36,407.0,18.55,425.55
