date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-21,Marseille,app,9,9,71,833.1,58.61,891.71
2025-03-21,Nantes,web,6,6,42,306.0,34.61,340.61
2025-03-21,Bordeaux,app,4,4,33,408.2,0.0,408.2
2025-03-21,Lyon,app,2,2,18,157.3,0.0,157.3
2025-03-21,Nantes,app,4,4,23,258.7,0.0,258.7
2025-03-21,Lille,app,4,4,21,294.5,12.68,307.18
2025-03-21,Nice,web,1,1,8,119.6,13.76,133.36
2025-03-21,Marseille,web,7,7,88,1256.8,39.09,1295.89
2025-03-21,Paris,app,4,4,29,458.2,19.36,477.56
2025-03-21,Lyon,web,2,2,12,101.9,11.09,112.99
2025-03-21,Paris,web,5,5,34,338.5,0.0,338.5
2025-03-21,Bordeaux,web,9,9,45,539.4,2.65,542.05
2025-03-21,Toulouse,web,5,5,33,369.1,12.57,381.67
2025-03-21,Toulouse,app,2,2,16,221.2,0.0,221.2
2025-03-21,Lille,web,15,14,125,1346.4,12.73,1359.13
2025-03-21,Nice,app,4,4,44,372.5,0.0,372.5
