date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-09,Toulouse,web,6,6,48,475.5,0.0,475.5
2025-03-09,Bordeaux,app,2,2,11,160.0,4.24,164.24
2025-03-09,Nantes,web,2,2,19,212.1,7.91,220.01
2025-03-09,Marseille,web,4,4,36,371.6,24.83,396.43
2025-03-09,Toulouse,app,2,2,18,243.8,13.17,256.97
2025-03-09,Paris,app,11,9,90,1002.9,4.87,1007.77
2025-03-09,Lyon,web,3,3,17,179.5,5.19,184.69
2025-03-09,Nantes,app,9,8,79,695.5,7.93,703.43
2025-03-09,Lyon,app,4,4,45,490.8,12.45,503.25
2025-03-09,Marseille,app,7,7,64,584.7,0.0,584.7
2025-03-09,Paris,web,3,3,20,172.8,18.69,191.49
2025-03-09,Lille,app,6,6,59,720.5,33.69,754.19
2025-03-09,Lille,web,8,8,44,429.4,26.77,456.17
2025-03-09,Nice,web,5,5,34,293.8,43.23,337.03
2025-03-09,Bordeaux,web,4,3,16,164.7,11.66,176.36
2025-03-09,Nice,app,6,5,48,570.9,13.58,584.48
