date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-23,Nice,app,4,4,34,306.5,45.27,351.77
2025-03-23,Lille,app,6,6,37,314.4,22.74,337.14
2025-03-23,Lyon,web,5,5,45,510.4,52.77,563.17
2025-03-23,Lille,web,1,1,5,62.5,0.0,62.5
2025-03-23,Lyon,app,6,6,49,544.9,17.52,562.42
2025-03-23,Nantes,app,3,3,21,169.3,15.18,184.48
2025-03-23,Bordeaux,app,6,6,45,519.1,17.82,536.92
2025-03-23,Paris,web,5,5,39,358.9,12.32,371.22
2025-03-23,Nantes,web,7,7,55,466.7,66.52,533.22
2025-03-23,Bordeaux,web,3,3,8,96.3,0.0,96.3
2025-03-23,Nice,web,8,8,53,571.2,72.93,644.13
2025-03-23,Marseille,app,4,4,22,208.5,71.89,280.39
2025-03-23,Marseille,web,7,7,46,684.2,12.84,697.04
2025-03-23,Toulouse,app,3,3,6,35.4,9.9,45.3
2025-03-23,Paris,app,4,4,41,427.4,9.33,436.73
2025-03-23,Toulouse,web,3,3,30,366.2,22.02,388.22
