date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-06,Lille,web,6,5,68,833.7,21.86,855.56
2025-03-06,Nice,app,4,4,47,268.4,0.0,268.4
2025-03-06,Marseille,web,1,1,2,25.0,0.0,25.0
2025-03-06,Lyon,app,7,7,64,773.0,8.9,781.9
2025-03-06,Bordeaux,app,8,8,58,625.9,54.43,680.33
2025-03-06,Nice,web,9,8,44,411.9,7.11,419.01
2025-03-06,Lyon,web,4,4,22,240.1,10.37,250.47
2025-03-06,Toulouse,app,3,3,34,398.1,11.97,410.07
2025-03-06,Lille,app,2,2,9,93.8,0.0,93.8
2025-03-06,Toulouse,web,3,3,30,284.6,19.64,304.24
2025-03-06,Paris,web,5,5,35,371.8,0.0,371.8
2025-03-06,Nantes,web,4,4,47,589.9,0.0,589.9
2025-03-06,Nantes,app,5,5,45,336.3,36.39,372.69
2025-03-06,Paris,app,4,4,47,464.1,0.0,464.1
2025-03-06,Bordeaux,web,7,7,46,458.5,30.84,489.34
2025-03-06,Marseille,app,7,7,42,300.3,0.0,300.3
