date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-28,Bordeaux,web,3,3,21,317.1,1.73,318.83
2025-03-28,Lyon,web,9,8,42,381.6,31.89,413.49
2025-03-28,Toulouse,web,12,11,87,838.7,32.91,871.61
2025-03-28,Nantes,web,2,2,24,390.5,0.0,390.5
2025-03-28,Nantes,app,7,7,46,566.5,48.28,614.78
2025-03-28,Toulouse,app,2,2,16,167.1,0.0,167.1
2025-03-28,Nice,web,1,1,10,144.5,2.97,147.47
2025-03-28,Nice,app,6,5,65,564.8,34.3,599.1
2025-03-28,Paris,app,4,3,36,327.5,45.96,373.46
2025-03-28,Lyon,app,5,4,52,724.2,8.27,732.47
2025-03-28,Marseille,app,4,4,19,187.5,19.36,206.86
2025-03-28,Bordeaux,app,4,4,46,542.6,6.35,548.95
2025-03-28,Marseille,web,8,8,56,741.3,21.73,763.03
2025-03-28,Lille,app,3,3,10,102.0,5.85,107.85
2025-03-28,Paris,web,7,5,53,502.3,0.0,502.3
