date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-16,Lyon,web,6,5,62,688.9,10.38,699.28
2025-03-16,Nice,web,4,4,27,344.4,24.67,369.07
2025-03-16,Lille,web,5,5,33,383.8,14.92,398.72
2025-03-16,Toulouse,app,1,1,14,201.6,4.48,206.08
2025-03-16,Bordeaux,web,7,7,67,809.8,3.45,813.25
2025-03-16,Nantes,web,7,7,64,876.9,4.99,881.89
2025-03-16,Paris,web,3,3,19,226.7,0.0,226.7
2025-03-16,Nantes,app,6,6,33,295.7,1.09,296.79
2025-03-16,Bordeaux,app,4,4,23,247.0,28.34,275.34
2025-03-16,Marseille,web,3,3,26,243.2,37.04,280.24
2025-03-16,Lille,app,4,4,36,327.9,39.93,367.83
2025-03-16,Marseille,app,7,7,51,570.4,18.6,589.0
2025-03-16,Toulouse,web,7,7,55,738.0,9.38,747.38
2025-03-16,Paris,app,4,4,34,392.2,0.0,392.2
2025-03-16,Lyon,app,5,5,36,378.5,18.0,396.5
2025-03-16,Nice,app,4,4,34,251.6,0.0,251.6
