date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-11,Lyon,app,8,8,42,507.3,50.89,558.19
2025-03-11,Nice,web,5,5,31,361.4,51.08,412.48
2025-03-11,Bordeaux,web,6,6,48,565.2,18.5,583.7
2025-03-11,Nice,app,5,4,39,296.1,0.0,296.1
2025-03-11,Lille,app,4,4,46,504.1,27.37,531.47
2025-03-11,Marseille,web,5,5,21,176.4,39.55,215.95
2025-03-11,Marseille,app,11,10,105,1264.5,67.18,1331.68
2025-03-11,Paris,web,2,1,15,120.0,0.0,120.0
2025-03-11,Lyon,web,5,5,25,221.3,2.27,223.57
2025-03-11,Nantes,app,3,3,21,95.0,0.0,95.0
2025-03-11,Paris,app,5,5,41,449.8,0.0,449.8
2025-03-11,Nantes,web,4,4,30,389.3,0.0,389.3
2025-03-11,Toulouse,web,3,3,11,49.0,9.44,58.44
2025-03-11,Toulouse,app,5,4,37,387.0,9.57,396.57
2025-03-11,Lille,web,2,2,19,341.0,0.0,341.0
2025-03-11,Bordeaux,app,4,4,27,320.6,18.68,339.28
