date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-10,Nice,app,3,3,31,479.1,6.25,485.35
2025-03-10,Nantes,app,6,5,55,567.1,50.8,617.9
2025-03-10,Lyon,web,4,4,41,618.3,32.14,650.44
2025-03-10,Toulouse,app,6,6,45,422.2,0.0,422.2
2025-03-10,Lille,web,6,6,47,506.2,20.24,526.44
2025-03-10,Marseille,app,3,3,19,229.5,0.0,229.5
2025-03-10,Bordeaux,web,9,8,89,961.3,8.34,969.64
2025-03-10,Paris,web,9,8,61,571.4,21.98,593.38
2025-03-10,Nantes,web,5,5,39,565.8,7.78,573.58
2025-03-10,Toulouse,web,5,5,29,282.6,28.57,311.17
2025-03-10,Bordeaux,app,6,6,40,486.4,28.34,514.74
2025-03-10,Paris,app,4,4,17,159.5,26.55,186.05
2025-03-10,Nice,web,2,1,11,152.0,0.0,152.0
2025-03-10,Marseille,web,4,4,31,349.8,16.91,366.71
2025-03-10,Lille,app,4,4,31,267.3,7.48,274.78
2025-03-10,Lyon,app,6,6,49,665.6,13.93,679.53
