date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-14,Lille,web,8,8,51,630.9,65.3,696.2
2025-03-14,Nantes,app,3,3,23,294.0,0.0,294.0
2025-03-14,Bordeaux,web,10,10,63,509.1,61.11,570.21
2025-03-14,Bordeaux,app,1,1,6,62.2,0.0,62.2
2025-03-14,Nantes,web,5,5,40,767.0,22.9,789.9
2025-03-14,Lyon,web,8,8,59,732.5,62.08,794.58
2025-03-14,Nice,app,4,4,33,359.7,18.49,378.19
2025-03-14,Marseille,app,6,6,47,456.9,0.0,456.9
2025-03-14,Marseille,web,5,5,43,387.7,56.31,444.01
2025-03-14,Paris,web,8,8,43,448.7,50.12,498.82
2025-03-14,Toulouse,app,3,3,22,255.6,0.0,255.6
2025-03-14,Nice,web,6,6,59,503.4,0.0,503.4
2025-03-14,Lille,app,2,2,10,75.5,12.37,87.87
2025-03-14,Lyon,app,6,6,51,593.2,16.42,609.62
2025-03-14,Paris,app,2,2,17,172.1,27.31,199.41
