date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-19,Bordeaux,web,8,8,54,698.4,28.96,727.36
2025-03-19,Toulouse,app,5,5,25,187.9,16.98,204.88
2025-03-19,Lyon,app,8,8,45,418.5,50.71,469.21
2025-03-19,Lille,web,5,5,36,358.8,0.0,358.8
2025-03-19,Lille,app,6,6,47,379.7,16.96,396.66
2025-03-19,Toulouse,web,5,5,57,699.9,6.41,706.31
2025-03-19,Marseille,app,5,5,36,364.8,18.84,383.64
2025-03-19,Marseille,web,4,4,20,150.5,25.35,175.85
2025-03-19,Nice,app,7,6,39,465.4,45.73,511.13
2025-03-19,Paris,app,1,1,9,137.0,0.0,137.0
2025-03-19,Bordeaux,app,4,4,35,416.4,2.56,418.96
2025-03-19,Nantes,web,6,6,23,222.0,67.07,289.07
2025-03-19,Paris,web,4,4,29,306.2,10.2,316.4
2025-03-19,Nice,web,2,2,9,50.0,17.51,67.51
2025-03-19,Nantes,app,3,3,29,257.2,35.17,292.37
2025-03-19,Lyon,web,5,5,73,1107.7,19.58,1127.28
