date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-01,Bordeaux,app,4,4,27,325.4,25.55,350.95
2025-03-01,Paris,web,7,7,53,776.8,6.76,783.56
2025-03-01,Nantes,web,1,1,8,77.4,0.0,77.4
2025-03-01,Marseille,app,9,9,69,594.4,62.45,656.85
2025-03-01,Nice,app,6,6,50,733.6,24.7,758.3
2025-03-01,Nantes,app,3,3,13,104.4,13.85,118.25
2025-03-01,Nice,web,3,3,23,173.2,23.62,196.82
2025-03-01,Lyon,web,3,3,21,257.9,2.81,260.71
2025-03-01,Bordeaux,web,6,6,25,332.5,39.73,372.23
2025-03-01,Paris,app,3,3,26,423.3,21.8,445.1
2025-03-01,Toulouse,web,6,6,35,396.4,38.55,434.95
2025-03-01,Marseille,web,8,7,55,497.7,6.05,503.75
2025-03-01,Lille,web,3,3,37,417.0,14.23,431.23
2025-03-01,Lyon,app,7,7,62,730.3,10.86,741.16
2025-03-01,Toulouse,app,5,5,38,416.4,6.53,422.93
2025-03-01,Lille,app,4,4,26,321.8,24.47,346.27
