date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-30,Lille,web,3,3,27,308.9,17.72,326.62
2025-03-30,Lille,app,6,6,62,694.3,34.72,729.02
2025-03-30,Paris,app,3,3,13,159.6,24.57,184.17
2025-03-30,Lyon,web,2,2,20,279.9,11.5,291.4
2025-03-30,Toulouse,app,6,6,64,583.1,13.73,596.83
2025-03-30,Toulouse,web,1,1,7,95.0,22.27,117.27
2025-03-30,Marseille,web,8,8,55,686.1,27.37,713.47
2025-03-30,Lyon,app,7,7,63,622.5,0.0,622.5
2025-03-30,Nantes,web,4,4,56,498.9,25.17,524.07
2025-03-30,Nice,web,5,5,42,447.6,22.57,470.17
2025-03-30,Paris,web,6,5,27,244.1,13.52,257.62
2025-03-30,Marseille,app,11,10,66,737.9,59.82,797.72
2025-03-30,Bordeaux,web,4,4,19,286.9,23.46,310.36
2025-03-30,Bordeaux,app,4,4,33,296.0,9.08,305.08
2025-03-30,Nantes,app,7,7,58,619.6,24.95,644.55
2025-03-30,Nice,app,4,4,13,136.9,22.23,159.13
