date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-18,Paris,app,7,7,50,499.6,38.58,538.18
2025-03-18,Marseille,app,8,8,63,763.8,5.33,769.13
2025-03-18,Bordeaux,app,8,7,40,451.4,16.65,468.05
2025-03-18,Lille,app,7,7,47,512.8,0.0,512.8
2025-03-18,Nantes,app,2,2,10,65.5,0.0,65.5
2025-03-18,Marseille,web,3,3,22,200.5,17.14,217.64
2025-03-18,Lyon,web,4,4,24,284.4,0.0,284.4
2025-03-18,Bordeaux,web,3,3,39,408.2,17.19,425.39
2025-03-18,Toulouse,app,8,8,65,690.8,0.0,690.8
2025-03-18,Lyon,app,6,6,44,410.0,37.96,447.96
2025-03-18,Nantes,web,5,5,25,156.4,27.08,183.48
2025-03-18,Paris,web,5,5,25,262.4,4.53,266.93
2025-03-18,Nice,web,9,9,67,958.5,16.54,975.04
2025-03-18,Lille,web,2,2,9,99.0,5.27,104.27
2025-03-18,Nice,app,3,3,25,269.0,16.92,285.92
2025-03-18,Toulouse,web,6,6,26,262.8,21.73,284.53
