date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-25,Nantes,web,6,5,67,650.9,22.19,673.09
2025-03-25,Bordeaux,web,5,5,32,287.7,46.15,333.85
2025-03-25,Lyon,app,6,6,37,651.6,56.68,708.28
2025-03-25,Paris,app,2,2,19,288.8,19.06,307.86
2025-03-25,Nice,app,1,1,11,77.5,2.75,80.25
2025-03-25,Marseille,web,7,7,45,472.8,6.77,479.57
2025-03-25,Paris,web,7,7,48,545.2,0.0,545.2
2025-03-25,Nantes,app,3,3,23,304.4,0.0,304.4
2025-03-25,Lille,web,6,6,41,647.8,6.55,654.35
2025-03-25,Nice,web,6,5,45,413.3,0.0,413.3
2025-03-25,Marseille,app,6,6,52,452.0,12.26,464.26
2025-03-25,Bordeaux,app,6,6,44,424.3,24.37,448.67
2025-03-25,Toulouse,web,5,4,33,250.6,12.4,263.0
2025-03-25,Toulouse,app,5,5,23,246.8,11.55,258.35
2025-03-25,Lille,app,4,4,28,318.6,17.7,336.3
2025-03-25,Lyon,web,8,8,52,624.3,16.09,640.39
