date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-04,Nantes,app,4,4,17,88.4,0.0,88.4
2025-03-04,Lille,web,2,2,15,56.0,0.0,56.0
2025-03-04,Paris,web,4,4,46,393.2,8.18,401.38
2025-03-04,Lyon,web,4,3,41,634.3,25.09,659.39
2025-03-04,Toulouse,app,6,6,50,490.7,0.0,490.7
2025-03-04,Nantes,web,7,7,59,728.1,5.42,733.52
2025-03-04,Nice,app,5,5,44,594.1,0.0,594.1
2025-03-04,Marseille,app,8,8,63,711.8,50.1,761.9
2025-03-04,Bordeaux,web,8,8,51,495.6,41.79,537.39
2025-03-04,Toulouse,web,7,7,30,263.7,14.52,278.22
2025-03-04,Lyon,app,3,3,23,322.2,5.61,327.81
2025-03-04,Bordeaux,app,6,6,42,437.4,47.55,484.95
2025-03-04,Marseille,web,4,4,29,336.8,3.84,340.64
2025-03-04,Nice,web,6,6,47,662.6,39.73,702.33
2025-03-04,Paris,app,5,5,53,694.0,9.86,703.86
