date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-05,Nice,app,5,5,32,410.2,0.0,410.2
2025-03-05,Marseille,web,3,3,17,152.3,43.51,195.81
2025-03-05,Lyon,app,4,4,39,328.1,27.24,355.34
2025-03-05,Nantes,app,3,3,34,351.8,21.69,373.49
2025-03-05,Lille,app,5,4,32,482.9,38.81,521.71
2025-03-05,Toulouse,web,5,5,42,507.8,6.76,514.56
2025-03-05,Nice,web,2,2,9,182.2,0.0,182.2
2025-03-05,Paris,web,7,7,39,503.1,19.19,522.29
2025-03-05,Toulouse,app,7,7,61,591.4,48.09,639.49
2025-03-05,Paris,app,3,3,16,177.6,11.4,189.0
2025-03-05,Nantes,web,7,6,51,445.1,15.43,460.53
2025-03-05,Marseille,app,7,6,55,522.5,21.61,544.11
2025-03-05,Bordeaux,app,8,8,71,794.3,0.0,794.3
2025-03-05,Lyon,web,6,6,32,243.6,26.41,270.01
2025-03-05,Bordeaux,web,4,4,40,482.5,0.0,482.5
2025-03-05,Lille,web,3,3,23,311.5,20.49,331.99
