date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-12,Bordeaux,app,8,8,90,1033.7,40.33,1074.03
2025-03-12,Lille,web,4,4,31,182.4,10.02,192.42
2025-03-12,Toulouse,app,9,9,66,593.1,46.05,639.15
2025-03-12,Nantes,web,7,7,77,879.0,38.79,917.79
2025-03-12,Nantes,app,4,4,32,300.2,28.33,328.53
2025-03-12,Paris,app,6,6,55,693.7,23.14,716.84
2025-03-12,Lille,app,2,2,10,186.3,8.23,194.53
2025-03-12,Nice,web,5,5,37,443.2,45.37,488.57
2025-03-12,Lyon,web,6,6,48,511.8,13.85,525.65
2025-03-12,Marseille,app,2,2,10,60.1,25.4,85.5
2025-03-12,Marseille,web,4,4,29,382.0,19.58,401.58
2025-03-12,Bordeaux,web,3,3,25,233.3,0.0,233.3
2025-03-12,Nice,app,3,3,35,349.1,37.24,386.34
2025-03-12,Paris,web,5,5,44,403.5,12.92,416.42
2025-03-12,Lyon,app,8,7,79,836.9,20.97,857.87
2025-03-12,Toulouse,web,10,10,66,705.0,48.88,753.88
