date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-15,Toulouse,web,4,3,36,399.7,26.49,426.19
2025-03-15,Paris,app,3,3,13,90.3,9.04,99.34
2025-03-15,Nice,app,4,4,38,401.4,0.0,401.4
2025-03-15,Marseille,app,7,7,65,691.9,46.57,738.47
2025-03-15,Marseille,web,6,6,46,626.3,29.72,656.02
2025-03-15,Lille,web,6,6,47,601.6,7.47,609.07
2025-03-15,Nice,web,2,2,17,228.0,0.0,228.0
2025-03-15,Paris,web,3,3,6,20.0,6.68,26.68
2025-03-15,Bordeaux,web,6,6,50,479.7,45.62,525.32
2025-03-15,Lyon,app,8,8,67,847.2,27.98,875.18
2025-03-15,Nantes,app,3,3,27,251.5,15.15,266.65
2025-03-15,Toulouse,app,7,6,73,798.1,43.05,841.15
2025-03-15,Bordeaux,app,8,8,70,816.9,39.05,855.95
2025-03-15,Nantes,web,5,5,40,363.0,45.08,408.08
2025-03-15,Lille,app,9,9,88,992.0,53.74,1045.74
2025-03-15,Lyon,web,4,4,44,436.7,26.91,463.61
