date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-24,Toulouse,web,4,3,17,213.0,35.29,248.29
2025-03-24,Nantes,web,2,2,12,124.5,0.0,124.5
2025-03-24,Paris,web,1,1,9,34.4,0.0,34.4
2025-03-24,Lille,app,8,8,48,362.3,52.4,414.7
2025-03-24,Nice,web,3,3,21,207.2,7.3,214.5
2025-03-24,Lyon,web,7,7,70,1008.4,24.45,1032.85
2025-03-24,Nice,app,5,5,46,629.7,1.43,631.13
2025-03-24,Bordeaux,web,2,2,19,159.8,0.0,159.8
2025-03-24,Toulouse,app,4,4,52,662.1,5.3,667.4
2025-03-24,Paris,app,5,5,53,658.7,0.0,658.7
2025-03-24,Marseille,app,2,2,6,60.0,0.0,60.0
2025-03-24,Bordeaux,app,2,2,20,213.1,0.0,213.1
2025-03-24,Marseille,web,12,12,107,1355.5,68.79,1424.29
2025-03-24,Nantes,app,10,9,58,592.0,47.56,639.56
2025-03-24,Lyon,app,3,3,20,127.0,12.94,139.94
2025-03-24,Lille,web,3,3,7,119.5,19.44,138.94
